producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
TOALLITAS HAPPY & SOFT X 120,4703,37624000,8000.0,TOALLITAS HÚMEDAS Y PAÑITOS
TOALLITAS PANDA X 105,3025,18150000,6000.0,TOALLITAS HÚMEDAS Y PAÑITOS
COLONIA ARRURU X 800 ROSADA,3001,134957971,44971.0,HIGIENE PERSONAL
COLONIA ARRURU X 800 AZUL,2709,121826439,44971.0,HIGIENE PERSONAL
TOALLITAS HUMEDAS KOALA X 100,2677,10708000,4000.0,TOALLITAS HÚMEDAS Y PAÑITOS
LECHE NESTOGENO F. INF 135 GRA,1070,8041050,7515.0,ALIMENTACIÓN INFANTIL
PAÑITOS WINNY X 100,1002,8868702,8851.0,PAÑALES
TOALLITAS HAPPY SOFT X 100,714,4855200,6800.0,TOALLITAS HÚMEDAS Y PAÑITOS
CREMA YODORA 60+60,679,17622087,25953.0,CREMAS Y CUIDADO PIEL
TOALLITAS HAPPY & SOFT X 40,567,1814400,3200.0,TOALLITAS HÚMEDAS Y PAÑITOS
CREMA ARRURRU X 800 ORIGINAL,556,16061728,28888.0,ESTUCHES Y KITS REGALO
CREMA NELIND X 40 GRAMOS,545,5993910,10998.0,CREMAS Y CUIDADO PIEL
COLONIA ARRURRU 30 ML ROSADA,414,2324196,5614.0,ESTUCHES Y KITS REGALO
COLONIA ARRURRU X 220 AZUL,336,7939344,23629.0,ESTUCHES Y KITS REGALO
COLONIA ARRURRU X 220 ROSADA,324,7655796,23629.0,ESTUCHES Y KITS REGALO
COLONIA ARRURRU X 120 AZUL + JABON,322,5631458,17489.0,ESTUCHES Y KITS REGALO
TOALLAS POSPARTO MATERNITY CLASICA,320,1835200,5735.0,CUIDADO FEMENINO Y MATERNIDAD
COLONIA ARRURRU 30 ML AZUL,313,1757182,5614.0,ESTUCHES Y KITS REGALO
CREMA YODORA 60+32,305,6734400,22080.0,CREMAS Y CUIDADO PIEL
CREMA N4 X 110,304,9839568,32367.0,CREMAS Y CUIDADO PIEL
PAÑAL BABY SEC ULTRAPROTEC 3 X 30,300,7051500,23505.0,PAÑALES
PAÑAL BEBEX 3 X 25+5,294,5710656,19424.0,PAÑALES
ESTUCHE ARRURRU SUAVIDAD Y HUMECTACION,278,9209306,33127.0,ESTUCHES Y KITS REGALO
CREMA ARRURRU X 120 ORIGINAL,277,2311565,8345.0,ESTUCHES Y KITS REGALO
ESTUCHE ARRURU VIAJERO AZUL,273,5737914,21018.0,ESTUCHES Y KITS REGALO
COLONIA ARRURRU X 120 ROSADA + JAB,268,4687052,17489.0,ESTUCHES Y KITS REGALO
CREMA N4 LATA X 20 GR,266,2033570,7645.0,CREMAS Y CUIDADO PIEL
PAÑAL BABY SEC ULTRAPROTEC 4 X 50,263,12550097,47719.0,PAÑALES
PAÑAL BABY SEC ULTRAPROTEC 4 X 30,241,7123478,29558.0,PAÑALES
ESTUCHE ARRURRU ABUELITA ROSADO,240,12885600,53690.0,ESTUCHES Y KITS REGALO
PAÑAL BEBEX 3 X 50,234,7537842,32213.0,PAÑALES
SHAMPOO HAPPY SOFT MANZANILLA X 1000,222,3108000,14000.0,HIGIENE PERSONAL
PAÑAL BABY SEC ULTRAPROTEC 5 X 50,220,12273800,55790.0,PAÑALES
SHAMPOO HAPPY SOFT NATURAL X 1000,219,3066000,14000.0,HIGIENE PERSONAL
TOALLITAS ARRURU X120 ALOE,219,1825146,8334.0,TOALLITAS HÚMEDAS Y PAÑITOS
SHAMPOO HAPPY SOFT ROMERO X 1000,216,3024000,14000.0,HIGIENE PERSONAL
SHAMPOO Y BAÑO ARRURU 2 EN 1 X 750 ORIGINAL,215,6200170,28838.0,HIGIENE PERSONAL
PAÑAL BEBEX 4 X 50,208,7823712,37614.0,PAÑALES
PAÑAL BEBEX 4 X 25+5,203,4580492,22564.0,PAÑALES
