fecha_factura,ingreso_al_sistema,doc,documento,proveedor,documento_1,valor_base,valor_iva,valor_total,plazo,fecha_vencimiento,mes,ano,dias_cartera,rte_fuente,rte_ica,descuentos,rte_fuente_1,rte_ica_1,total_abonos,saldo_a_pagar,unnamed_21,unnamed_22,unnamed_23,unnamed_24,total_abonado,n_abonos,ultimo_abono,saldo_pendiente,dias_por_pagar,dias_vencido,tramo_aging
2025-10-10,2025-10-14,F,CR1900053645,Roma SA,0,3554930.0,0.0,3554930.0,45.0,2025-11-24,11.0,2025.0,0.0,NO,NO,,0.0,0.0,3527459.0,0.0,,,,,3527459.0,2.0,2025-11-21,27471.0,-239,239,vencida_>90
2025-10-10,2025-10-16,F,FI1100741609,Roma SA,0,6166716.0,0.0,6166716.0,45.0,2025-11-24,11.0,2025.0,0.0,NO,NO,,0.0,0.0,6119062.0,0.0,,,,,6119062.0,2.0,2025-11-21,47654.0,-239,239,vencida_>90
2025-10-11,2025-10-11,F,FAE3667,Diana Carolina Otalvaro,0,8893390.0,,8893390.0,45.0,2025-11-25,11.0,2025.0,0.0,SI,NO,,186835.9244,0.0,8706554.0,-0.01436974793,,,,,8706554.0,1.0,2025-11-22,186836.0,-238,238,vencida_>90
2025-10-15,2025-10-16,F,CC1800024204,Roma SA,0,6726512.0,211073.0,6937585.0,45.0,2025-11-29,11.0,2025.0,0.0,NO,NO,,0.0,0.0,6927566.0,0.0,,,,,6927566.0,3.0,2025-11-28,10019.0,-234,234,vencida_>90
2025-10-17,2025-10-17,F,FE1267,Grupo Family & Home,0,1835292.0,348705.0,2183997.0,60.0,2025-12-16,12.0,2025.0,0.0,SI,SI,,45882.3,14131.7484,2123983.0,-0.0484,,,,,2123983.0,2.0,2025-12-04,60014.0,-217,217,vencida_>90
2025-10-20,,F,FE3433,Fernando Chamorro,0,1370000.0,260300.0,1630300.0,0.0,2025-10-20,10.0,2025.0,0.0,SI,SI,,34250.0,6549.0,1589501.0,0.0,,,,,1589501.0,1.0,2025-11-18,40799.0,-274,274,vencida_>90
2025-10-28,2025-10-31,F,DRY532692,Softys,0,23986713.0,4557475.0,28544188.0,60.0,2025-12-27,12.0,2025.0,0.0,SI,NO,719602.0,599667.825,0.0,27224918.0,-0.02500000007,,,,,27224918.0,2.0,2025-12-24,1319270.0,-206,206,vencida_>90
2025-10-28,2025-10-31,F,FE7980,Infantiles ABBA,0,1474484.0,280151.0,1754635.0,30.0,2025-11-27,11.0,2025.0,0.0,SI,NO,73724.2,36862.1,0.0,1644050.0,-1.3,,,,,1644050.0,1.0,2024-11-12,110585.0,-236,236,vencida_>90
2025-10-28,2025-10-31,R,28996,Infantiles ABBA,0,1474484.0,0.0,1474484.0,30.0,2025-11-27,11.0,2025.0,0.0,SI,NO,73724.2,0.0,0.0,1400760.0,-0.2,,,,,1400760.0,1.0,2025-11-10,73724.0,-236,236,vencida_>90
2025-10-29,2025-10-31,F,FE7982,Infantiles ABBA,0,1151930.0,218866.0,1370796.0,30.0,2025-11-28,11.0,2025.0,0.0,SI,NO,57596.5,28798.25,0.0,1284402.0,-0.75,,,,,1284402.0,1.0,2025-11-12,86394.0,-235,235,vencida_>90
2025-10-29,2025-10-31,R,28998,Infantiles ABBA,0,1151930.0,0.0,1151930.0,30.0,2025-11-28,11.0,2025.0,0.0,SI,NO,57596.5,0.0,0.0,1094334.0,-0.5,,,,,1094334.0,1.0,2025-11-10,57596.0,-235,235,vencida_>90
2025-10-28,2025-10-31,R,28994,Infantiles ABBA,0,7560420.0,0.0,7560420.0,30.0,2025-11-27,11.0,2025.0,0.0,SI,NO,604833.6,0.0,0.0,6955586.0,-0.009999999977,,,,,6955586.0,1.0,2025-11-10,604834.0,-236,236,vencida_>90
2025-11-01,2025-11-05,F,FG7804,Laboratorio San Jorge SAS,0,6192096.0,180357.0,6372453.0,0.0,2025-11-01,11.0,2025.0,0.0,SI,SI,,154802.4,0.0,5885872.0,-0.4,,,,,5885872.0,1.0,,486581.0,-262,262,vencida_>90
2025-10-29,2025-11-11,F,FE1277,Grupo Family & Home,0,1633590.0,310382.0,1943972.0,60.0,2025-12-28,12.0,2025.0,0.0,SI,SI,,40839.75,12578.643,1890554.0,-0.393,,,,,1890554.0,1.0,2025-12-05,53418.0,-205,205,vencida_>90
2025-10-29,2025-11-11,F,FE2436,Grupo Family & Home,0,12529411.0,2380588.0,14909999.0,60.0,2025-12-28,12.0,2025.0,0.0,SI,SI,,313235.275,96476.4647,14500288.0,-0.7397,,,,,14500288.0,2.0,2025-12-10,409711.0,-205,205,vencida_>90
2025-11-12,2025-11-13,F,FG7962,Laboratorio San Jorge SAS,0,5293232.0,336701.0,5629933.0,0.0,2025-11-12,11.0,2025.0,0.0,SI,SI,,132330.8,0.0,5497602.0,0.0,,,,,5497602.0,1.0,2025-11-12,132331.0,-251,251,vencida_>90
2025-11-06,2025-11-30,R,6458,Diseños y Puntadas,0,1147500.0,0.0,1147500.0,30.0,2025-12-06,12.0,2025.0,0.0,SI,NO,,0.0,0.0,1147300.0,-1.0,,,,,1147300.0,1.0,2025-12-01,200.0,-227,227,vencida_>90
2025-11-13,2025-11-15,R,29111,Infantiles ABBA,0,1699600.0,0.0,1699600.0,30.0,2025-12-13,12.0,2025.0,0.0,SI,NO,135968.0,0.0,0.0,1563632.0,0.0,,,,,1563632.0,1.0,2024-11-25,135968.0,-220,220,vencida_>90
2025-11-13,2025-11-20,F,FE8043,Infantiles ABBA,0,7097211.0,1348470.0,8445681.0,30.0,2025-12-13,12.0,2025.0,0.0,SI,NO,354860.55,177430.275,0.0,7913391.0,-0.8250000001,,,,,7913391.0,1.0,2025-11-25,532290.0,-220,220,vencida_>90
2025-11-13,2025-11-20,R,29109,Infantiles ABBA,0,7372356.0,0.0,7372356.0,30.0,2025-12-13,12.0,2025.0,0.0,SI,NO,368617.8,0.0,0.0,7003739.0,-0.8,,,,,7003739.0,1.0,2025-11-25,368617.0,-220,220,vencida_>90
2025-11-20,2025-11-22,F,FG8176,Laboratorio San Jorge SAS,0,2658202.0,505058.0,3163260.0,0.0,2025-11-20,11.0,2025.0,0.0,SI,SI,,66455.05,20468.1554,3076298.0,-1.2054,,,,,3076298.0,1.0,2025-11-19,86962.0,-243,243,vencida_>90
2025-11-22,2025-11-24,F,DRY535795,Softys,0,18404324.0,3495822.0,21900146.0,60.0,2026-01-21,1.0,2026.0,0.0,SI,NO,552129.72,460108.1,0.0,20887915.0,-6.82,,,,,20887915.0,2.0,2026-01-20,1012231.0,-181,181,vencida_>90
2025-11-24,2025-11-27,F,FE2499,Grupo Family & Home,0,5541176.0,1052823.0,6593999.0,60.0,2026-01-23,1.0,2026.0,0.0,SI,SI,,138529.4,42667.0552,6412803.0,-0.4552,,,,,6412803.0,1.0,2026-02-05,181196.0,-179,179,vencida_>90
