cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
10312,CREMA N4 PROTECT X 20G,CREMAS Y CUIDADO PIEL,TECNOQUIMICAS,181057.33,185611,10575.84,22,170481.0,0.9416,8230.0,481.0,0.9970784810846864,C
1797,CONJUNTO MI ROPITA 703,OTROS,FABY BABYS,20679.89,21200,2500.0,1,18180.0,0.8791,20680.0,2500.0,0.9998162245437995,C
9080,COCHE BABY ONLY AZUL,COCHES Y PORTEO,CHINA,1983123.5299999998,2033000,240500.0,13,1742624.0,0.8787,152548.0,18500.0,0.9423221321016281,B
8587,CONJUNTO FABY BABYS 0013,OTROS,FABY BABYS,25167.04,25800,3400.0,2,21767.0,0.8649,12584.0,1700.0,0.999734814458529,C
4725,COCHE BABY ONLY ROJO,COCHES Y PORTEO,CHINA,5693505.7,5836700,1397668.22,39,4295837.0,0.7545,145987.0,35838.0,0.8357432529605036,B
1724,ACONDICIONADOR ARRURRU SUAVIDAD Y HUMECTACION X 400,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,2162462.1,2216849,619310.0,85,1543152.0,0.7136,25441.0,7286.0,0.9361864172930454,B
7272,CHILLON X 30 ANIMALES MALLA AMP 10,OTROS,CHINA,42920.53,44000,12900.0,2,30021.0,0.6995,21460.0,6450.0,0.9993894963740576,C
1173,CEPILLO HAIR BRUSH 0213 - 1,OTROS,CHINA,553370.83,567531,205212.92,115,348158.0,0.6292,4812.0,1784.0,0.9892550647137393,C
10143,ENTRETENEDOR MAGEMIOR 202,OTROS,CHINA,640504.24,656318,292766.06,129,347738.0,0.5429,4965.0,2270.0,0.9874263820598942,C
1059,BABITAS X 7 INFANTEC BIP 8016,OTROS,PANAMA,1102554.22,1130284,504054.19,103,598500.0,0.5428,10704.0,4894.0,0.9728662425189756,C
875,CONJUNTO FABY BABYS 0079,OTROS,FABY BABYS,21167.62,21700,10000.0,1,11168.0,0.5276,21168.0,10000.0,0.999801047609086,C
10126,BABITAS X 6 CARTE BABY BL 2306-349,OTROS,CHINA,2520933.43,2584336,1199725.36,519,1321208.0,0.5241,4857.0,2312.0,0.9225154520226894,B
3101,ENTRETENEDOR INFANTEC BIP 1087,OTROS,PANAMA,721719.6900000001,743230,343628.57,102,378091.0,0.5239,7076.0,3369.0,0.9844701615635313,C
2171,CEPILLO BABY COLOR GBC 5186,OTROS,PANAMA,505785.04,518400,242245.23,96,263540.0,0.5211,5269.0,2523.0,0.9908265052636347,C
6482,ENTRETENEDOR CADENA BOOGY 18628,OTROS,PANAMA,405528.41000000003,415594,195327.83000000002,56,210201.0,0.5183,7242.0,3488.0,0.9927073556044947,C
11446,CUCHARA DR GYM JMA 1908 - 26,OTROS,CHINA,514217.23,527150,261960.0,148,252257.0,0.4906,3474.0,1770.0,0.9903105721548254,C
4927,ENTRETENEDOR INFANTEC X 2 BIP 1145,OTROS,PANAMA,664611.27,682106,346376.76,85,318235.0,0.4788,7819.0,4075.0,0.9867297305060277,C
8678,COLONIA ARRURRU X 400 AZUL,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,30175510.1,30979560,15843041.36,812,14332469.0,0.475,37162.0,19511.0,0.6851637992150292,A
9905,COPITOS MK X 80,OTROS,TECNOQUIMICAS,151708.49,155400,80816.66,21,70892.0,0.4673,7224.0,3848.0,0.9977338442248584,C
2169,CEPILLO INFANTEC GB 0759,OTROS,PANAMA,709404.26,727655,381245.24,83,328159.0,0.4626,8547.0,4593.0,0.9850320382263426,C
9051,CONTENT ULTRA SEC L X 21,OTROS,TECNOQUIMICAS,5311956.859999999,5445555,2859688.0,104,2452269.0,0.4617,51077.0,27497.0,0.844354604555965,B
6812,CREMA N4 MULTIUSOS X 30,CREMAS Y CUIDADO PIEL,TECNOQUIMICAS,57509.61,58956,30956.0,4,26554.0,0.4617,14377.0,7739.0,0.9991184404068048,C
8483,ASPIRADOR NASAL BOOGY 19655,OTROS,PANAMA,12751.3,13072,6940.33,2,5811.0,0.4557,6376.0,3470.0,0.9999220522177228,C
10867,BABERO DELANTAL AD 02 - 101,ROPA Y TEXTIL,CHINA,357066.62,366047,197604.88,81,159462.0,0.4466,4408.0,2440.0,0.9939220523150396,C
10088,CREMA DEPILEX BIKINI Y AXILAS 2X1,CREMAS Y CUIDADO PIEL,BELLEZA EXPRESS,1409939.3699999999,1445400,800113.97,73,609825.0,0.4325,19314.0,10960.0,0.9628862380890236,C
460,COLONIA ARRURRU X 60 ROSADA,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,30261439.02,31075751,17277368.0,2727,12984071.0,0.4291,11097.0,6336.0,0.6834696601667279,A
6988,ENTRETENEDOR ESTUCHE BOOGY 18682,ESTUCHES Y KITS REGALO,PANAMA,151880.16,155700,86925.0,25,64955.0,0.4277,6075.0,3477.0,0.9977253268783076,C
459,COLONIA ARRURRU X 60 AZUL,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,38361225.77,39394451,22137522.71,3447,16223703.0,0.4229,11129.0,6422.0,0.6477727047051706,A
10785,DOMICILIO,OTROS,VARIOS 2024,57576.68,59001,33304.2,16,24272.0,0.4216,3599.0,2082.0,0.9991119804906771,C
112,CREMA YODORA 60+32,CREMAS Y CUIDADO PIEL,TECNOQUIMICAS,33211601.55,34111030,19562490.24,1465,13649111.0,0.411,22670.0,13353.0,0.6638334471448468,A
6477,ENTRETENEDOR CADENA BOOGY 18390,OTROS,PANAMA,674226.86,691184,404231.07,76,269996.0,0.4005,8871.0,5319.0,0.9864674089818558,C
11438,ENTRETENEDOR MAGEMIOR LOT - 8,OTROS,CHINA,284605.0,292408,171114.6,57,113490.0,0.3988,4993.0,3002.0,0.9954054850693417,C
300,COLONIA ARRURRU X 120 AZUL + JABON,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,82307433.45,84486341,50044964.48,4506,32262469.0,0.392,18266.0,11106.0,0.5058293573287667,A
8310,BABITAS MINIMI X 6 AC 03 - 601,OTROS,CHINA,6175416.5,6350490,3761726.37,420,2413690.0,0.3909,14703.0,8956.0,0.8284552234941116,B
2751,COBIJA SUAVECITAS 848,ROPA Y TEXTIL,Suavecitas,48180.24,49392,29800.0,2,18380.0,0.3815,24090.0,14900.0,0.9993127957450518,C
571,CREMA ARRURRU X 120 ORIGINAL,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,6985773.13,7205238,4328450.55,782,2657323.0,0.3804,8933.0,5535.0,0.8097177387630847,B
3114,ENTRETENEDOR INFANTEC BGBP 509,OTROS,PANAMA,480641.01,497417,298730.11,52,181911.0,0.3785,9243.0,5745.0,0.9915468986163882,C
14292,ENTRETENEDOR DR GYM BL 2306 - 63,OTROS,CHINA,1994929.9,2045175,1241665.81,652,753264.0,0.3776,3060.0,1904.0,0.9420991990178346,B
6153,BABITAS X 6 BABY WASHCLOTHS BL 2306-298,OTROS,CHINA,1213236.52,1243750,760231.01,252,453006.0,0.3734,4814.0,3017.0,0.9688467503098611,C
10171,CHILLON X 20 HW AMP 9,OTROS,CHINA,10266.79,10525,6492.0,1,3775.0,0.3677,10267.0,6492.0,0.9999551835770982,C
887,ENSURE ADVANCE VAINILLA X 400,OTROS,Leche Importada,41481.72,42525,26250.0,1,15232.0,0.3672,41482.0,26250.0,0.9994202030451368,C
14019,CHUPO REPUESTO NATURAL BL 2306-13,BIBERONES Y EXTRACTORES,CHINA,2844201.11,2915734,1801388.0,2006,1042813.0,0.3666,1418.0,898.0,0.9095886982284884,B
