categoria_producto,venta_bruta,venta_total,costo_total,utilidad_bruta,margen_bruto_pct
CREMAS Y CUIDADO PIEL,340211635.0,330839049.31,227597011.73,103242038.0,0.3121
CUIDADO FEMENINO Y MATERNIDAD,119915609.0,116833418.3,97464096.16999999,19369322.0,0.1658
COCHES Y PORTEO,340419110.0,331502558.94,282977086.70000005,48525472.0,0.1464
MOBILIARIO INFANTIL,1250856688.0,1218413776.88,1040116659.9100001,178297117.0,0.1463
FARMACIA Y BOTIQUÍN,10136864.0,9908991.189999998,8597225.690000001,1311765.0,0.1324
BAÑO BEBÉ (BAÑERAS Y BACINES),1226183994.0,1194276392.01,1037355350.74,156921041.0,0.1314
BIBERONES Y EXTRACTORES,765999784.0,746267763.3,649839609.65,96428154.0,0.1292
OTROS,1838122852.0,1789633574.25,1558470500.9299998,231163073.0,0.1292
ACCESORIOS BEBÉ,167890554.0,163620672.1,144425591.53000003,19195081.0,0.1173
ROPA Y TEXTIL,186905911.0,181824306.45000002,160692074.67999998,21132232.0,0.1162
JUGUETES Y ACCESORIOS,292263032.0,284612100.96000004,252480901.64,32131199.0,0.1129
ALIMENTACIÓN INFANTIL,169778161.0,165443044.53,147477197.31,17965847.0,0.1086
ASEO HOGAR,194448.0,184721.08000000002,165094.44999999998,19627.0,0.1063
PAÑALES,6011316325.0,5855754639.24,5257593699.849999,598160939.0,0.1021
TOALLITAS HÚMEDAS Y PAÑITOS,1282284345.0,1247848996.8899999,1123048407.92,124800589.0,0.1
ALIMENTOS Y BEBIDAS,46363436.0,45231502.67,40873904.19,4357598.0,0.0963
CAMINADORES Y MONTABLES,920583737.0,896712120.52,813097532.14,83614588.0,0.0932
ESTUCHES Y KITS REGALO,2610919625.0,2542616431.5,2430666737.43,111949694.0,0.044
HIGIENE PERSONAL,708446533.0,690183975.45,670179664.33,20004311.0,0.029
