anio_mes,categoria_producto,venta_neta,unidades,crecimiento_pct_mom
2024-06,ACCESORIOS BEBÉ,6103480.68,213,
2024-07,ACCESORIOS BEBÉ,5635605.0,204,-0.0767
2024-08,ACCESORIOS BEBÉ,8792033.35,372,0.5601
2024-09,ACCESORIOS BEBÉ,7182165.21,229,-0.1831
2024-10,ACCESORIOS BEBÉ,12396656.42,548,0.726
2024-11,ACCESORIOS BEBÉ,3949469.01,137,-0.6814
2024-12,ACCESORIOS BEBÉ,4566256.58,159,0.1562
2025-01,ACCESORIOS BEBÉ,6051921.45,242,0.3254
2025-02,ACCESORIOS BEBÉ,10284587.9,417,0.6994
2025-03,ACCESORIOS BEBÉ,12617708.879999999,615,0.2269
2025-04,ACCESORIOS BEBÉ,5369455.75,224,-0.5745
2025-05,ACCESORIOS BEBÉ,9906740.95,444,0.845
2025-06,ACCESORIOS BEBÉ,6304099.0,225,-0.3637
2025-07,ACCESORIOS BEBÉ,8689553.72,320,0.3784
2025-10,ACCESORIOS BEBÉ,4448014.89,138,-0.4881
2025-11,ACCESORIOS BEBÉ,5669777.84,178,0.2747
2025-12,ACCESORIOS BEBÉ,2338045.88,88,-0.5876
2026-01,ACCESORIOS BEBÉ,5627965.91,209,1.4071
2026-02,ACCESORIOS BEBÉ,6346670.43,174,0.1277
2026-03,ACCESORIOS BEBÉ,7444893.11,244,0.173
2026-04,ACCESORIOS BEBÉ,7194749.649999999,288,-0.0336
2026-05,ACCESORIOS BEBÉ,6951963.95,298,-0.0337
2026-06,ACCESORIOS BEBÉ,5453291.93,189,-0.2156
2026-07,ACCESORIOS BEBÉ,4295564.61,151,-0.2123
2024-06,ALIMENTACIÓN INFANTIL,22119593.12,1921,
2024-07,ALIMENTACIÓN INFANTIL,6937518.25,812,-0.6864
2024-08,ALIMENTACIÓN INFANTIL,12671554.62,800,0.8265
2024-09,ALIMENTACIÓN INFANTIL,2163877.4899999998,273,-0.8292
2024-10,ALIMENTACIÓN INFANTIL,4485634.24,527,1.073
2024-11,ALIMENTACIÓN INFANTIL,4389404.47,554,-0.0215
2024-12,ALIMENTACIÓN INFANTIL,5667168.13,652,0.2911
2025-01,ALIMENTACIÓN INFANTIL,7620832.55,971,0.3447
2025-02,ALIMENTACIÓN INFANTIL,6851677.18,839,-0.1009
2025-03,ALIMENTACIÓN INFANTIL,6240352.24,787,-0.0892
2025-04,ALIMENTACIÓN INFANTIL,9719158.68,1264,0.5575
2025-05,ALIMENTACIÓN INFANTIL,8044867.87,1048,-0.1723
2025-06,ALIMENTACIÓN INFANTIL,7953369.11,912,-0.0114
2025-07,ALIMENTACIÓN INFANTIL,7748618.67,973,-0.0257
2025-10,ALIMENTACIÓN INFANTIL,4410503.99,524,-0.4308
2025-11,ALIMENTACIÓN INFANTIL,5864347.99,648,0.3296
2025-12,ALIMENTACIÓN INFANTIL,7969152.06,997,0.3589
2026-01,ALIMENTACIÓN INFANTIL,9171683.85,1034,0.1509
2026-02,ALIMENTACIÓN INFANTIL,11848060.24,1350,0.2918
2026-03,ALIMENTACIÓN INFANTIL,1639716.8199999998,46,-0.8616
2026-04,ALIMENTACIÓN INFANTIL,3870000.08,418,1.3602
2026-05,ALIMENTACIÓN INFANTIL,2687631.97,269,-0.3055
2026-06,ALIMENTACIÓN INFANTIL,4372369.53,405,0.6268
2026-07,ALIMENTACIÓN INFANTIL,995951.38,64,-0.7722
2024-06,ALIMENTOS Y BEBIDAS,2491109.44,124,
2024-07,ALIMENTOS Y BEBIDAS,1775217.49,181,-0.2874
2024-08,ALIMENTOS Y BEBIDAS,9140149.99,392,4.1487
2024-09,ALIMENTOS Y BEBIDAS,799492.42,91,-0.9125
2024-10,ALIMENTOS Y BEBIDAS,2481050.43,152,2.1033
2024-11,ALIMENTOS Y BEBIDAS,1325253.31,68,-0.4658
2024-12,ALIMENTOS Y BEBIDAS,611568.78,72,-0.5385
2025-01,ALIMENTOS Y BEBIDAS,2358385.54,175,2.8563
2025-02,ALIMENTOS Y BEBIDAS,1361751.37,167,-0.4226
2025-03,ALIMENTOS Y BEBIDAS,3298393.9,163,1.4222
2025-04,ALIMENTOS Y BEBIDAS,1768033.18,128,-0.464
2025-05,ALIMENTOS Y BEBIDAS,1280299.8800000001,148,-0.2759
2025-06,ALIMENTOS Y BEBIDAS,1016484.95,90,-0.2061
2025-07,ALIMENTOS Y BEBIDAS,1066575.19,71,0.0493
2025-10,ALIMENTOS Y BEBIDAS,451300.14,41,-0.5769
2025-11,ALIMENTOS Y BEBIDAS,1092257.67,93,1.4202
2025-12,ALIMENTOS Y BEBIDAS,395688.58,37,-0.6377
2026-01,ALIMENTOS Y BEBIDAS,2332933.76,179,4.8959
2026-02,ALIMENTOS Y BEBIDAS,6277733.82,533,1.6909
2026-03,ALIMENTOS Y BEBIDAS,1847468.0799999998,198,-0.7057
2026-04,ALIMENTOS Y BEBIDAS,523370.71,46,-0.7167
2026-05,ALIMENTOS Y BEBIDAS,386923.21,37,-0.2607
2026-06,ALIMENTOS Y BEBIDAS,1085289.84,87,1.8049
2026-07,ALIMENTOS Y BEBIDAS,64770.99,10,-0.9403
2024-06,ASEO HOGAR,13198.06,5,
2024-07,ASEO HOGAR,17558.4,4,0.3304
2024-08,ASEO HOGAR,12308.44,4,-0.299
2024-09,ASEO HOGAR,4389.6,1,-0.6434
2024-12,ASEO HOGAR,4389.6,1,0.0
2025-01,ASEO HOGAR,4389.6,1,0.0
2025-03,ASEO HOGAR,4389.6,1,0.0
2025-04,ASEO HOGAR,13168.8,3,2.0
2025-07,ASEO HOGAR,8779.2,2,-0.3333
2025-12,ASEO HOGAR,97681.41,26,10.1265
2026-01,ASEO HOGAR,4468.37,1,-0.9543
2024-06,BAÑO BEBÉ (BAÑERAS Y BACINES),52397767.05,2202,
2024-07,BAÑO BEBÉ (BAÑERAS Y BACINES),61679560.63,2114,0.1771
2024-08,BAÑO BEBÉ (BAÑERAS Y BACINES),65647769.42,2592,0.0643
2024-09,BAÑO BEBÉ (BAÑERAS Y BACINES),28100850.580000002,1181,-0.5719
2024-10,BAÑO BEBÉ (BAÑERAS Y BACINES),45582173.28,1974,0.6221
2024-11,BAÑO BEBÉ (BAÑERAS Y BACINES),40714462.5,1946,-0.1068
2024-12,BAÑO BEBÉ (BAÑERAS Y BACINES),43929941.87,2088,0.079
2025-01,BAÑO BEBÉ (BAÑERAS Y BACINES),47775377.17,2251,0.0875
2025-02,BAÑO BEBÉ (BAÑERAS Y BACINES),55784201.69,2770,0.1676
2025-03,BAÑO BEBÉ (BAÑERAS Y BACINES),44655444.97,2086,-0.1995
2025-04,BAÑO BEBÉ (BAÑERAS Y BACINES),30276141.0,1431,-0.322
2025-05,BAÑO BEBÉ (BAÑERAS Y BACINES),42857221.08,1945,0.4155
2025-06,BAÑO BEBÉ (BAÑERAS Y BACINES),31468161.19,1459,-0.2657
2025-07,BAÑO BEBÉ (BAÑERAS Y BACINES),43362317.730000004,1951,0.378
2025-10,BAÑO BEBÉ (BAÑERAS Y BACINES),34777624.85,1449,-0.198
2025-11,BAÑO BEBÉ (BAÑERAS Y BACINES),43277603.67,2024,0.2444
2025-12,BAÑO BEBÉ (BAÑERAS Y BACINES),26754224.31,1267,-0.3818
2026-01,BAÑO BEBÉ (BAÑERAS Y BACINES),60958121.04,2477,1.2784
2026-02,BAÑO BEBÉ (BAÑERAS Y BACINES),71948115.88,2874,0.1803
2026-03,BAÑO BEBÉ (BAÑERAS Y BACINES),77825782.01,3156,0.0817
2026-04,BAÑO BEBÉ (BAÑERAS Y BACINES),63043716.16,2232,-0.1899
2026-05,BAÑO BEBÉ (BAÑERAS Y BACINES),74543026.26,2182,0.1824
2026-06,BAÑO BEBÉ (BAÑERAS Y BACINES),60407169.99,1851,-0.1896
2026-07,BAÑO BEBÉ (BAÑERAS Y BACINES),46509617.68,1624,-0.2301
2024-06,BIBERONES Y EXTRACTORES,18891454.37,2313,
2024-07,BIBERONES Y EXTRACTORES,28183760.7,3338,0.4919
2024-08,BIBERONES Y EXTRACTORES,28298409.31,3362,0.0041
2024-09,BIBERONES Y EXTRACTORES,12496289.76,1362,-0.5584
2024-10,BIBERONES Y EXTRACTORES,43766333.94,3930,2.5023
2024-11,BIBERONES Y EXTRACTORES,19329122.9,1855,-0.5584
2024-12,BIBERONES Y EXTRACTORES,20721594.4,1959,0.072
2025-01,BIBERONES Y EXTRACTORES,28601407.86,2844,0.3803
2025-02,BIBERONES Y EXTRACTORES,30166498.94,3095,0.0547
2025-03,BIBERONES Y EXTRACTORES,12426176.25,1847,-0.5881
2025-04,BIBERONES Y EXTRACTORES,31665742.21,5142,1.5483
2025-05,BIBERONES Y EXTRACTORES,39299158.22,5947,0.2411
2025-06,BIBERONES Y EXTRACTORES,19951754.37,2546,-0.4923
2025-07,BIBERONES Y EXTRACTORES,27720321.3,4224,0.3894
2025-10,BIBERONES Y EXTRACTORES,10788869.48,1725,-0.6108
2025-11,BIBERONES Y EXTRACTORES,27452593.5,6155,1.5445
2025-12,BIBERONES Y EXTRACTORES,14437433.35,2229,-0.4741
2026-01,BIBERONES Y EXTRACTORES,40589559.6,3712,1.8114
2026-02,BIBERONES Y EXTRACTORES,68328108.2,6726,0.6834
2026-03,BIBERONES Y EXTRACTORES,51845835.65,6651,-0.2412
2026-04,BIBERONES Y EXTRACTORES,47015650.15,7008,-0.0932
2026-05,BIBERONES Y EXTRACTORES,35342637.84,4771,-0.2483
2026-06,BIBERONES Y EXTRACTORES,52023836.83,5977,0.472
2026-07,BIBERONES Y EXTRACTORES,36925214.17,3661,-0.2902
2024-06,CAMINADORES Y MONTABLES,40300350.76,459,
2024-07,CAMINADORES Y MONTABLES,42406318.77,481,0.0523
2024-08,CAMINADORES Y MONTABLES,36400886.99,456,-0.1416
2024-09,CAMINADORES Y MONTABLES,46042749.78,668,0.2649
2024-10,CAMINADORES Y MONTABLES,64835259.589999996,856,0.4082
2024-11,CAMINADORES Y MONTABLES,77446943.92,1145,0.1945
2024-12,CAMINADORES Y MONTABLES,78563492.16,1272,0.0144
2025-01,CAMINADORES Y MONTABLES,22515036.57,264,-0.7134
2025-02,CAMINADORES Y MONTABLES,34050806.68,410,0.5124
2025-03,CAMINADORES Y MONTABLES,17112317.41,219,-0.4974
2025-04,CAMINADORES Y MONTABLES,28390369.27,293,0.6591
2025-05,CAMINADORES Y MONTABLES,23330819.24,262,-0.1782
2025-06,CAMINADORES Y MONTABLES,21612095.900000002,261,-0.0737
