proveedor,saldo_pendiente,compras,n_facturas,dpo
Tecnoquimicas,204984674.0,808532480.0,29,22.8
Bivien,155481864.18,635820565.0,26,22.0
Grupo Family & Home,150856337.0,470628720.0,54,28.8
Softys,79943630.0,462961138.0,24,15.5
Infantiles ABBA,45947021.0,208190834.0,46,19.9
Praktiplas,41107257.0,361404075.0,24,10.2
Grupo Empresarial Bernal Hoyos SAS,26946185.0,26946185.0,1,90.0
Farmadisa,9806187.0,17012541.0,8,51.9
Laboratorio San Jorge SAS,7436539.0,258554224.0,15,2.6
Comercializadora Multidrogas,5501000.0,214020555.0,10,2.3
Armaty,2439260.7199999997,39701756.72,9,5.5
Diseños y Puntadas,2054193.0,8973493.0,8,20.6
Forros para Coche,1242000.0,3234000.0,3,34.6
Roma SA,602269.0,41435319.0,10,1.3
Distribuidora Negociemos Pharma,392916.0,15716631.0,2,2.3
Distribuidora Extra SAS,310978.0,14802569.0,6,1.9
Diana Carolina Otalvaro,186836.0,8893390.0,1,1.9
Comercializadora Tiernitos,47383.0,1724362.0,2,2.5
Fernando Chamorro,40799.0,1630300.0,1,2.3
Inversiones Metropolitana SA,0.0,2134661.0,2,0.0
Option SA,0.0,8522640.0,3,0.0
Premium Trading SAS,0.0,17279999.0,3,0.0
