cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
15041,JUGUETE MASCOTA DOUGEZ CK031,JUGUETES Y ACCESORIOS,MASCOTA,6099.21,6300,4979.64,1,1120.0,0.1836,6099.0,4980.0,0.9999942333179328,C
14774,TETERO 8 OZ INFANTEC BIP 1586,BIBERONES Y EXTRACTORES,PANAMA,60411.27,62400,49322.18,6,11089.0,0.1836,10069.0,8220.0,0.9996071209975201,C
14078,MOVIL CUNA BABE BED BELL BL 2306-255,MOBILIARIO INFANTIL,CHINA,128373.94,132600,104809.64,4,23564.0,0.1836,32093.0,26202.0,0.9983215172241355,C
15063,BEBEDERO PARA PERRO GRANDE DGZ2025-7,OTROS,MASCOTA,37757.04,39000,30826.37,6,6931.0,0.1836,6293.0,5138.0,0.9997975374171827,C
10146,GORRO JMA 19 - 3,OTROS,CHINA,30786.51,31800,25135.34,4,5651.0,0.1836,7697.0,6284.0,0.9998539885952483,C
2169,CEPILLO INFANTEC GB 0759,OTROS,PANAMA,189269.28,195500,154527.04,23,34742.0,0.1836,8229.0,6719.0,0.9962278610543198,C
13555,COCHE SPECTRUM SPM 900 - 502,COCHES Y PORTEO,PANAMA,193625.86,200000,158083.92,1,35542.0,0.1836,193626.0,158084.0,0.9959809314377708,C
15102,KIT CATS ARMATY,OTROS,MASCOTA,166130.99,171600,135636.0,3,30495.0,0.1836,55377.0,45212.0,0.9970521228121877,C
14693,SOPORTE DUCHA BEBE BL 2412+121,OTROS,CHINA,309801.37,320000,252934.28,2,56867.0,0.1836,154901.0,126467.0,0.9908425172423143,C
14776,VASO 10 OZ INFANTEC BIP 1589,OTROS,PANAMA,274174.22,283200,223846.84,24,50327.0,0.1836,11424.0,9327.0,0.9920872719082255,C
4026,PANAL WINNY GOLD 5 X 50,PAÑALES,TECNOQUIMICAS,312124.88,322400,254831.29,4,57294.0,0.1836,78031.0,63708.0,0.990727390312524,C
15065,CORTAUNAS MASCOTA PEQUENO LE345,OTROS,MASCOTA,15490.06,16000,12646.72,2,2843.0,0.1835,7745.0,6323.0,0.9999683056088917,C
15045,JUGUETE MASCOTA DOUGEZ CK030,JUGUETES Y ACCESORIOS,MASCOTA,7841.85,8100,6402.4,1,1439.0,0.1835,7842.0,6402.0,0.9999879630516315,C
15047,JUGUETE MASCOTA DOUGEZ CK008,JUGUETES Y ACCESORIOS,MASCOTA,5808.78,6000,4742.52,1,1066.0,0.1835,5809.0,4743.0,0.9999964124267993,C
15055,CUCHARA MASCOTA DGZ2025-4,OTROS,MASCOTA,19178.64,19810,15658.220000000001,2,3520.0,0.1835,9589.0,7829.0,0.9999454253259051,C
15046,JUGUETE MASCOTA DOUGEZ CK011,JUGUETES Y ACCESORIOS,MASCOTA,19178.64,19810,15658.220000000001,2,3520.0,0.1835,9589.0,7829.0,0.9999418744507709,C
14726,LLAMADIENTE BOOGY 21478,OTROS,PANAMA,577728.87,597100,471690.59,37,106038.0,0.1835,15614.0,12748.0,0.9741933999838401,C
15059,COMEDERO MASCOTA PEQUENO HL0219-1,OTROS,MASCOTA,38725.17,40000,31616.79,8,7108.0,0.1835,4841.0,3952.0,0.9997764355692995,C
15002,SET TAPPER 680 ML X 2,OTROS,HOGAR,203539.69,211700,166217.54,73,37322.0,0.1834,2788.0,2277.0,0.9955757605445261,C
15013,ANDADERA MUSICAL TREN 6062,CAMINADORES Y MONTABLES,CHINA,2963263.62,3076600,2419755.2199999997,32,543508.0,0.1834,92602.0,75617.0,0.8488877143453814,B
13624,SET ASEO NOOR NOS 178,OTROS,PANAMA,141437.8,147000,115500.05,18,25938.0,0.1834,7858.0,6417.0,0.9978790614680452,C
15006,VASO SALPICON PRAKTIPLAS,OTROS,HOGAR,79549.03,82500,64956.030000000006,75,14593.0,0.1834,1061.0,866.0,0.99928867882379,C
13558,COCHE SPECTRUM SPM 900 - 505,COCHES Y PORTEO,PANAMA,1150059.0,1200000,939281.77,5,210777.0,0.1833,230012.0,187856.0,0.943083930817679,B
13526,CORRAL BEBESITOS ST 3700 - 547,MOBILIARIO INFANTIL,PANAMA,1677474.8900000001,1748000,1369972.5899999999,6,307502.0,0.1833,279579.0,228329.0,0.9147283104310819,B
13402,PISCINA INTEX 58434,OTROS,PANAMA,151866.23,159000,124047.54000000001,3,27819.0,0.1832,50622.0,41349.0,0.9975243526921228,C
15003,SET TAPPER 930 ML X 2,OTROS,HOGAR,381671.37,399600,311757.21,108,69914.0,0.1832,3534.0,2887.0,0.9871016608977308,C
15000,SET TAPPER RECTANGULAR 330 ML X 3,OTROS,HOGAR,663223.9400000001,694400,541735.88,217,121488.0,0.1832,3056.0,2496.0,0.9690484437960708,C
15049,JUGUETE MASCOTA DOUGEZ ER164,JUGUETES Y ACCESORIOS,MASCOTA,32274.42,33800,26362.68,3,5912.0,0.1832,10758.0,8788.0,0.9998425525538439,C
15004,SET TAPPER PEQUENO 330 ML X 2,OTROS,HOGAR,357906.02999999997,376200,292385.33,171,65521.0,0.1831,2093.0,1710.0,0.9881966812225869,C
13481,PISCINA BESTWAY 52189,OTROS,PANAMA,119528.1,126000,97656.3,2,21872.0,0.183,59764.0,48828.0,0.9985487390730327,C
10673,SET MANICURE BOOGY 20796,OTROS,PANAMA,133188.45,140400,108817.01999999999,18,24371.0,0.183,7399.0,6045.0,0.9980568899018285,C
10138,VAJILLA TOMMEE TIPPIE TM 8,OTROS,CHINA,88317.99,93100,72157.16,7,16161.0,0.183,12617.0,10308.0,0.9990864754214004,C
15009,TAPPER RECTANGULAR 3 L SURTIDO,OTROS,HOGAR,512263.29,540000,418527.0,100,93736.0,0.183,5123.0,4185.0,0.980577178602214,C
15008,TAPPER CUADRADO 1 KG SURTIDO,OTROS,HOGAR,350995.22,370000,286768.5,200,64227.0,0.183,1755.0,1434.0,0.9886556467380506,C
15001,SET TAPPER REDONDO 350 ML X 3,OTROS,HOGAR,355169.20999999996,374400,290178.72,144,64990.0,0.183,2466.0,2015.0,0.9883286363819239,C
13498,FLOTADOR BESTWAY 93405 E,OTROS,PANAMA,37945.43,40000,31002.0,1,6943.0,0.183,37945.0,31002.0,0.9997905467997834,C
1030,VASO JUGO INFACTEC GB 7034,ALIMENTOS Y BEBIDAS,PANAMA,36048.16,38000,29451.9,4,6596.0,0.183,9012.0,7363.0,0.9998111415456293,C
10757,FLOTADOR BESTWAY 36159,OTROS,PANAMA,30356.34,32000,24801.6,1,5555.0,0.183,30356.0,24802.0,0.999865289021744,C
14612,PANALERA DEELLT BL 2412+018,PAÑALES,CHINA,534271.64,563200,436508.16,10,97763.0,0.183,53427.0,43651.0,0.9790272614313278,C
14225,BALDE PLEGABLE BANERA CARITA,BAÑO BEBÉ (BAÑERAS Y BACINES),CHINA,163639.65,172500,133696.14,15,29944.0,0.183,10909.0,8913.0,0.9972045096765791,C
14164,MOVIL MUSICAL HAPPY SHAKING BL 2306-241,OTROS,CHINA,88223.12,93000,72079.65,4,16143.0,0.183,22056.0,18020.0,0.9991028097017807,C
12361,CUCHARA BOOGY 20767,OTROS,PANAMA,18972.71,20000,15501.0,4,3472.0,0.183,4743.0,3875.0,0.9999489380736374,C
13554,COCHE SPECTRUM SPM 900 - 494,COCHES Y PORTEO,PANAMA,2712701.16,2800000,2216598.47,14,496103.0,0.1829,193764.0,158328.0,0.8597782263069312,B
9556,ENTRETENEDOR CINTA INFAN TEC BIP 1370,OTROS,PANAMA,191864.12,198000,156811.21,22,35053.0,0.1827,8721.0,7128.0,0.9960520943663241,C
8988,TETERO 12 OZ WAKIDS 76190,BIBERONES Y EXTRACTORES,PANAMA,256657.41,265000,209888.89,29,46769.0,0.1822,8850.0,7238.0,0.9926721886493932,C
15057,COMEDERO MASCOTA 0230-1,OTROS,MASCOTA,81482.73000000001,84000,66645.25,14,14837.0,0.1821,5820.0,4760.0,0.9992442495119847,C
15101,ARENERO PREMIUM ARMATY,OTROS,MASCOTA,188053.8,193800,153856.21000000002,6,34198.0,0.1819,31342.0,25643.0,0.9962977084273529,C
1354,CEPILLO PEINE INFANTEC GB 0763,OTROS,PANAMA,76534.73999999999,79200,62626.41,11,13908.0,0.1817,6958.0,5693.0,0.9993175199547601,C
13570,COCHE SPECTRUM SPM 900 - 496,COCHES Y PORTEO,PANAMA,970068.4299999999,1000000,793843.1499999999,5,176225.0,0.1817,194014.0,158769.0,0.9506153002459838,C
14917,KIT DE ASEO BABY CARE 10 PCS AM8805,OTROS,CHINA,4357433.62,4537450,3566592.96,388,790841.0,0.1815,11230.0,9192.0,0.7955433967541459,A
13850,VAJILLA INFANTEC BIP 1424,OTROS,PANAMA,536989.54,554000,439562.33999999997,45,97427.0,0.1814,11933.0,9768.0,0.9788294087889344,C
14963,BOLSA REGALO BABY SHOWER VB8148,ESTUCHES Y KITS REGALO,CHINA,2260211.65,2353200,1850446.49,972,409765.0,0.1813,2325.0,1904.0,0.8839729311597712,B
14848,ESCOBILLON BOOGY 006,OTROS,PANAMA,4605851.93,4752160,3771290.59,130,834561.0,0.1812,35430.0,29010.0,0.7939254643399243,A
13556,COCHE SPECTRUM SPM 900 - 503,COCHES Y PORTEO,PANAMA,776442.57,800000,635759.22,4,140683.0,0.1812,194111.0,158940.0,0.960459505488418,C
13867,VASO 10 OZ BOOGY 21387,OTROS,PANAMA,663657.98,688500,543533.48,57,120124.0,0.181,11643.0,9536.0,0.9689256496147853,C
14330,TETERO 5 OZ BOOGY 22006,BIBERONES Y EXTRACTORES,PANAMA,223093.0,232500,182726.59,25,40366.0,0.1809,8924.0,7309.0,0.9944232990214822,C
13569,COCHE SPECTRUM SPM 900 - 493,COCHES Y PORTEO,PANAMA,2084892.6800000002,2160000,1707670.48,9,377222.0,0.1809,231655.0,189741.0,0.8947972174385964,B
14920,TETERO ONLY 12 OZ GFD 048,BIBERONES Y EXTRACTORES,CHINA,4855328.58,5045950,3977406.62,437,877922.0,0.1808,11111.0,9102.0,0.7816264421077429,A
14266,SONAJERO X 4 BABY TOYS BL 2306 - 195,JUGUETES Y ACCESORIOS,CHINA,222257.64,232500,182070.14,31,40188.0,0.1808,7170.0,5873.0,0.9945467852559385,C
14914,KIT DE ASEO BABY CARE 20 PCS GFD113,OTROS,CHINA,7859354.86,8184850,6440065.1,260,1419290.0,0.1806,30228.0,24769.0,0.7131870678793831,A
13541,COMEDOR BEBESITOS NG 201,MOBILIARIO INFANTIL,PANAMA,1527523.57,1590000,1251653.91,10,275870.0,0.1806,152752.0,125165.0,0.9224400513221903,B
14421,COCHE BABYSTONE 2306 - 373,COCHES Y PORTEO,CHINA,726800.99,760000,595535.45,3,131266.0,0.1806,242267.0,198512.0,0.9635243172314587,C
14952,PLASTICO CAMBIADOR GFD175,OTROS,CHINA,2275093.32,2367000,1864531.87,307,410561.0,0.1805,7411.0,6073.0,0.8827155259318661,B
13856,VASO INFANTEC BIP 1515,OTROS,PANAMA,408240.36,429000,334548.08,42,73692.0,0.1805,9720.0,7965.0,0.9850619626353202,C
15005,VASO PITILLO PRAKTIPLAS,OTROS,HOGAR,330618.66000000003,340200,270936.15,162,59683.0,0.1805,2041.0,1672.0,0.9896040381194052,C
13524,CORRAL BEBESITOS ST 3600 - 547,MOBILIARIO INFANTIL,PANAMA,1684056.4100000001,1748000,1380264.01,6,303792.0,0.1804,280676.0,230044.0,0.9141064029244393,B
14907,TETERO ONLY 11 OZ GFD 063,BIBERONES Y EXTRACTORES,CHINA,4203851.26,4359600,3445301.75,432,758550.0,0.1804,9731.0,7975.0,0.7995117985223136,A
13557,COCHE SPECTRUM SPM 900 - 504,COCHES Y PORTEO,PANAMA,582816.71,600000,477675.3,3,105141.0,0.1804,194272.0,159225.0,0.9736561117939866,C
10928,TETERO 9 OZ INFANTEC BIP 1390,BIBERONES Y EXTRACTORES,PANAMA,401945.13,419100,329420.89,36,72524.0,0.1804,11165.0,9151.0,0.9856617107969914,C
11401,TAPETE BANERA BOOGY 20697,BAÑO BEBÉ (BAÑERAS Y BACINES),PANAMA,421255.54,438900,345261.38,27,75994.0,0.1804,15602.0,12787.0,0.9847565650320413,C
14072,MOVIL CUNA BABE BED BELL BL 2306-247,MOBILIARIO INFANTIL,CHINA,341077.52999999997,353600,279546.98,13,61531.0,0.1804,26237.0,21504.0,0.9891693001119091,C
