categoria_producto,venta_bruta,venta_total,costo_total,utilidad_bruta,margen_bruto_pct
ROPA Y TEXTIL,71961650.0,69714511.44,57514234.08,12200277.0,0.175
COCHES Y PORTEO,81253850.0,78703187.44,64943168.55,13760019.0,0.1748
JUGUETES Y ACCESORIOS,109430460.0,106383668.53,88000485.19,18383183.0,0.1728
OTROS,540075198.0,525075903.5,435149062.79,89926841.0,0.1713
MOBILIARIO INFANTIL,388111862.0,377592480.84,313185222.45,64407258.0,0.1706
HIGIENE PERSONAL,143915528.0,139928802.61,116066420.78999999,23862382.0,0.1705
BIBERONES Y EXTRACTORES,341140598.0,332070842.44000006,275514734.0,56556108.0,0.1703
FARMACIA Y BOTIQUÍN,3936700.0,3825921.709999999,3174764.2700000005,651157.0,0.1702
CUIDADO FEMENINO Y MATERNIDAD,44060750.0,42941854.269999996,35634037.56,7307817.0,0.1702
ACCESORIOS BEBÉ,44539950.0,43315099.59,35946804.0,7368296.0,0.1701
TOALLITAS HÚMEDAS Y PAÑITOS,420795664.0,409120195.09,339654417.93999994,69465777.0,0.1698
BAÑO BEBÉ (BAÑERAS Y BACINES),467936952.0,455235549.02,378011272.91999996,77224276.0,0.1696
ESTUCHES Y KITS REGALO,870087664.0,847923458.79,704561262.5600001,143362196.0,0.1691
PAÑALES,1653973896.0,1610309642.89,1338206347.4099998,272103295.0,0.169
ALIMENTOS Y BEBIDAS,12827346.0,12518490.41,10403296.940000001,2115193.0,0.169
CREMAS Y CUIDADO PIEL,124394174.0,121132184.41,100674937.49,20457247.0,0.1689
CAMINADORES Y MONTABLES,195722338.0,190720665.76,158771234.28,31949431.0,0.1675
ALIMENTACIÓN INFANTIL,35316350.0,34585413.86999999,28868634.96,5716779.0,0.1653
ASEO HOGAR,4500.0,4468.37,3845.9,622.0,0.1392
