categoria_producto,inventario_costo,costo_ventas_6m,costo_ventas_anualizado,rotacion,dias_inventario
ESTUCHES Y KITS REGALO,137757065,632712780.83,1265425561.66,9.19,40.0
TOALLITAS HÚMEDAS Y PAÑITOS,75747798,321258054.44,642516108.88,8.48,43.0
PAÑALES,305860573,1212037771.73,2424075543.46,7.93,46.0
BIBERONES Y EXTRACTORES,90188577,264725906.8,529451813.6,5.87,62.0
BAÑO BEBÉ (BAÑERAS Y BACINES),123165149,361179375.18,722358750.36,5.86,62.0
ALIMENTACIÓN INFANTIL,8631090,24007412.38,48014824.76,5.56,66.0
CUIDADO FEMENINO Y MATERNIDAD,15386939,33177445.12,66354890.24,4.31,85.0
CREMAS Y CUIDADO PIEL,51302593,93671867.75,187343735.5,3.65,100.0
MOBILIARIO INFANTIL,219600273,299580807.29,599161614.58,2.73,134.0
COCHES Y PORTEO,48867989,63856871.6,127713743.2,2.61,140.0
ROPA Y TEXTIL,46217515,55934037.63,111868075.26,2.42,151.0
OTROS,411795986,416377329.61,832754659.22,2.02,181.0
CAMINADORES Y MONTABLES,204229226,146541345.31,293082690.62,1.44,253.0
JUGUETES Y ACCESORIOS,122869490,85060761.72,170121523.44,1.38,264.0
ALIMENTOS Y BEBIDAS,16541576,10079176.11,20158352.22,1.22,299.0
ACCESORIOS BEBÉ,60130274,33544823.32,67089646.64,1.12,326.0
HIGIENE PERSONAL,287219861,112323629.89,224647259.78,0.78,468.0
FARMACIA Y BOTIQUÍN,9855000,3113229.81,6226459.62,0.63,579.0
